name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
de Overkant Hortus,open,Nieuwe Herengracht 71,1011 RR,Amsterdam,"Nieuwe Herengracht 71, 1011 RR Amsterdam",de Overkant Hortus,de Overkant Hortus/logo.png,1,30,15 July 2026,,https://www.coffeeshopmenus.org/cs-overkant-hortus.html
De Prijs,open,Surinamestraat 7,1058 GJ,Amsterdam,"Surinamestraat 7, Amsterdam 1058 GJ",Prijs,Prijs/logo.png,1,,10 January 2024,,https://www.coffeeshopmenus.org/cs-prijs.html
de Supermarkt,open,Frederik Hendrikstraat 69,1052 HL,Amsterdam,"Frederik Hendrikstraat 69, 1052 HL Amsterdam",Supermarkt,Supermarkt/logo.png,1,10,3 May 2026,,https://www.coffeeshopmenus.org/cs-supermarkt.html
Delmondo,closed,Nieuwmarkt 28,1012 CS,Amsterdam,"Nieuwmarkt 28, Amsterdam 1012 CS",Delmondo,Delmondo/logo.png,1,,,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-delmondo.html
DNA,open,Achillesstraat 104,1076 RH,Amsterdam,"Achillesstraat 104, 1076 RH Amsterdam",DNA,DNA/logo.png,1,17,12 July 2026,,https://www.coffeeshopmenus.org/cs-dna.html
Dolphins,open,Kerkstraat 39,1017 GB,Amsterdam,"Kerkstraat 39, 1017 GB Amsterdam",Dolphins,Dolphins/logo.png,1,26,12 May 2026,,https://www.coffeeshopmenus.org/cs-dolphins.html
Doors Palace,open,Spuistraat 46,1012 TV,Amsterdam,"Spuistraat 46, 1012 TV Amsterdam",DoorsPalace,DoorsPalace/logo.png,1,,21 August 2013,,https://www.coffeeshopmenus.org/cs-doors-palace.html
Double Reggae,closed,Nieuwendijk 32,1012 MK,Amsterdam,"Nieuwendijk 32, 1012 MK Amsterdam",Double Reggae,Double Reggae/logo.png,1,,26 July 2008,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-double-reggae.html
Dutch Flowers,open,Singel 387,1012 WN,Amsterdam,"Singel 387, 1012 WN Amsterdam",Dutch Flowers,Dutch Flowers/logo.png,1,7,23 August 2013,Later 420 Coffeeshop,https://www.coffeeshopmenus.org/cs-dutch-flowers.html
Eastwood,open,Pieter Vlamingstraat 286,1093 AK,Amsterdam,"Pieter Vlamingstraat 286, 1093 AK Amsterdam",Eastwood,Eastwood/logo.png,1,7,19 August 2024,,https://www.coffeeshopmenus.org/cs-eastwood.html
Easy Times,open,Prinsengracht 476,1017 KG,Amsterdam,"Prinsengracht 476, 1017 KG Amsterdam",Easy Times,Easy Times/logo.png,1,57,18 July 2026,,https://www.coffeeshopmenus.org/cs-easy-times.html
Easy Times 2,open,Reguliersdwarsstraat 29,1017 BJ,Amsterdam,"Reguliersdwarsstraat 29, Amsterdam 1017 BJ",Easy Times,Easy Times/logo.png,1,3,20 June 2026,Previously Betty Two. See also Easy Times,https://www.coffeeshopmenus.org/cs-easytimes2.html
El Guapo,open,Nieuwe Nieuwstraat 32,1012 NH,Amsterdam,"Nieuwe Nieuwstraat 32, 1012 NH Amsterdam",El Guapo,El Guapo/logo.png,1,8,18 January 2020,Later Terps Army,https://www.coffeeshopmenus.org/cs-guapo.html
El Marssa,open,Witte de Withstraat 106,1057 ZG,Amsterdam,"Witte de Withstraat 106, 1057 ZG Amsterdam",ElMarssa,ElMarssa/logo.png,1,3,25 August 2025,,https://www.coffeeshopmenus.org/cs-marssa.html
Extreme,closed,Huidenstraat 13a,1016 ER,Amsterdam,"Huidenstraat 13a, 1016 ER Amsterdam",Extreme,Extreme/logo.png,4,7,20 November 2009,Later Best Friends Centrum and now closed,https://www.coffeeshopmenus.org/cs-extreme.html
Family First,open,Amstel 36,1017 AB,Amsterdam,"Amstel 36, Amsterdam 1017 AB",FamilyFirst,FamilyFirst/logo.png,1,60,18 July 2026,,https://www.coffeeshopmenus.org/cs-family-first.html
Feels Good,closed,Oudezijds Voorburgwal 36,1012 GD,Amsterdam,"Oudezijds Voorburgwal 36, 1012 GD Amsterdam",FeelsGood,FeelsGood/logo.png,3,4,21 November 2019,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-feels-good.html
Flower Power,open,Rozengracht 139,1016 LV,Amsterdam,"Rozengracht 139, 1016 LV Amsterdam",FlowerPower,FlowerPower/logo.png,1,20,10 April 2026,,https://www.coffeeshopmenus.org/cs-flower-power.html
